block_key,product_id
block0,http://www.google.com/base/feeds/snippets/549551716004314019
block0,http://www.google.com/base/feeds/snippets/18427513736767114578
block0,http://www.google.com/base/feeds/snippets/17501987182659378619
block0,http://www.google.com/base/feeds/snippets/18014351345232205148
block0,http://www.google.com/base/feeds/snippets/13667854560905221243
block0,http://www.google.com/base/feeds/snippets/18135578158357182921
block0,http://www.google.com/base/feeds/snippets/17456162504360585884
block0,http://www.google.com/base/feeds/snippets/18264347410665748173
block0,http://www.google.com/base/feeds/snippets/2096220602293961985
block0,http://www.google.com/base/feeds/snippets/13203509836503626053
block0,http://www.google.com/base/feeds/snippets/14326164391298371952
block0,http://www.google.com/base/feeds/snippets/12471937113581397461
block0,http://www.google.com/base/feeds/snippets/10305340032656039276
block0,http://www.google.com/base/feeds/snippets/18402597692930439041
block0,http://www.google.com/base/feeds/snippets/13154517593415530045
block0,http://www.google.com/base/feeds/snippets/17582996673773533364
block0,http://www.google.com/base/feeds/snippets/18221397831011266279
block0,http://www.google.com/base/feeds/snippets/17993944573849708480
block0,http://www.google.com/base/feeds/snippets/17359014404157181642
block0,http://www.google.com/base/feeds/snippets/17375915846745821199
block0,http://www.google.com/base/feeds/snippets/16790631679419428442
block0,http://www.google.com/base/feeds/snippets/16630396354315555450
block0,http://www.google.com/base/feeds/snippets/18405135648098652581
block0,http://www.google.com/base/feeds/snippets/17008959831760960991
block0,http://www.google.com/base/feeds/snippets/11448761432933644608
block0,http://www.google.com/base/feeds/snippets/13535179607560062827
block0,http://www.google.com/base/feeds/snippets/11648097795915093399
block0,http://www.google.com/base/feeds/snippets/18434733520229761009
block0,http://www.google.com/base/feeds/snippets/12437736252699967480
block0,http://www.google.com/base/feeds/snippets/11179585669816570240
block0,http://www.google.com/base/feeds/snippets/17530305432950801722
block0,http://www.google.com/base/feeds/snippets/18395787464051623418
block0,http://www.google.com/base/feeds/snippets/13634906937991178152
block0,http://www.google.com/base/feeds/snippets/17321125761149481127
block0,http://www.google.com/base/feeds/snippets/18399328874850787866
block0,http://www.google.com/base/feeds/snippets/17943553623332924825
block0,http://www.google.com/base/feeds/snippets/17392222800642377551
block0,http://www.google.com/base/feeds/snippets/17476622898499473532
block0,http://www.google.com/base/feeds/snippets/17695920349455995837
block0,http://www.google.com/base/feeds/snippets/16750826951044664483
block0,http://www.google.com/base/feeds/snippets/4325793427900176296
block0,http://www.google.com/base/feeds/snippets/14640507864355837784
block0,http://www.google.com/base/feeds/snippets/8664755713112971171
block0,http://www.google.com/base/feeds/snippets/9558419339728905800
block0,http://www.google.com/base/feeds/snippets/13579460940007673564
block0,http://www.google.com/base/feeds/snippets/18384366678790095384
block0,http://www.google.com/base/feeds/snippets/18001016946561742173
block0,http://www.google.com/base/feeds/snippets/4747185109584668947
block0,http://www.google.com/base/feeds/snippets/16674697281415587384
block0,http://www.google.com/base/feeds/snippets/11611566315397308287
block0,http://www.google.com/base/feeds/snippets/594191839879876004
block0,http://www.google.com/base/feeds/snippets/12603976278153658661
block0,http://www.google.com/base/feeds/snippets/11117774223029062148
block0,http://www.google.com/base/feeds/snippets/4108712449976038856
block0,http://www.google.com/base/feeds/snippets/8111765779932560561
block0,http://www.google.com/base/feeds/snippets/1781031509566531842
block0,http://www.google.com/base/feeds/snippets/9847776401829585115
block0,http://www.google.com/base/feeds/snippets/14928650794745636736
block0,http://www.google.com/base/feeds/snippets/3752772644614152917
block0,http://www.google.com/base/feeds/snippets/2084347887571442067
block0,http://www.google.com/base/feeds/snippets/13380169193455086942
block0,http://www.google.com/base/feeds/snippets/9685850187894108398
block0,http://www.google.com/base/feeds/snippets/7516347790713287981
block0,http://www.google.com/base/feeds/snippets/4432724463066898018
block0,http://www.google.com/base/feeds/snippets/13278655414642608462
block0,http://www.google.com/base/feeds/snippets/12418972562708861095
block0,http://www.google.com/base/feeds/snippets/4250686295132810758
block0,http://www.google.com/base/feeds/snippets/16894460490935798232
block0,http://www.google.com/base/feeds/snippets/18312853825749428303
block0,http://www.google.com/base/feeds/snippets/17762641182538089473
block0,http://www.google.com/base/feeds/snippets/10883047013256896757
block0,http://www.google.com/base/feeds/snippets/18355044473505180786
block0,http://www.google.com/base/feeds/snippets/9899533968814505006
block0,http://www.google.com/base/feeds/snippets/11765669176361549570
block0,http://www.google.com/base/feeds/snippets/11711275868800545948
block0,http://www.google.com/base/feeds/snippets/18416093365515680633
block0,http://www.google.com/base/feeds/snippets/13263543491904359774
block0,http://www.google.com/base/feeds/snippets/9238210867244449104
